filename|emotion|valence|arousal|dominance|text
data/iemocap/Session5/sentences/wav/Ses05F_impro04/Ses05F_impro04_M007.wav|neu|3.0|3.5|3.0|No, it doesn't pay the bills, but it would pay something.  And it would help you get somewhere else.
data/iemocap/Session5/sentences/wav/Ses05M_script03_1/Ses05M_script03_1_M002.wav|fea|3.0|3.5|3.5|Must be them then?
data/iemocap/Session1/sentences/wav/Ses01M_impro05/Ses01M_impro05_M028.wav|ang|1.5|4.5|4.5|I know what you guys do when you're not working you're union people; you just sit around on your ass.
data/iemocap/Session1/sentences/wav/Ses01M_script01_1/Ses01M_script01_1_F026.wav|neu|3.0|2.3333|3.0|Did you ask Annie yet?
data/iemocap/Session5/sentences/wav/Ses05M_impro02/Ses05M_impro02_M016.wav|xxx|2.3333|3.0|2.6667|They'll find me anyway.  You know they will.
data/iemocap/Session2/sentences/wav/Ses02M_impro02/Ses02M_impro02_F007.wav|sad|2.5|2.5|3.0|It's going to be really rough.
data/iemocap/Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M021.wav|sad|2.0|2.5|2.5|No.  Nothing like that.
data/iemocap/Session5/sentences/wav/Ses05M_impro03/Ses05M_impro03_F029.wav|xxx|3.6667|2.0|2.0|oh.
data/iemocap/Session5/sentences/wav/Ses05F_script02_2/Ses05F_script02_2_M016.wav|neu|4.0|3.5|2.5|Wait a minute, I got it.
data/iemocap/Session2/sentences/wav/Ses02F_script02_1/Ses02F_script02_1_M034.wav|xxx|2.5|3.5|4.0|We just weren't in a good spot.  This is a much better spot.  Believe me, I've got good instincts for these things.
data/iemocap/Session1/sentences/wav/Ses01M_script03_2/Ses01M_script03_2_F031.wav|ang|2.5|2.5|3.5|Why?
data/iemocap/Session4/sentences/wav/Ses04F_impro07/Ses04F_impro07_M007.wav|xxx|4.0|3.0|3.5|You're going to have to get like a nine millimeter because U.S.C.'s like in South Central.
data/iemocap/Session1/sentences/wav/Ses01M_impro02/Ses01M_impro02_F011.wav|xxx|2.0|3.5|2.5|Me?  I'm not worried about me.
data/iemocap/Session5/sentences/wav/Ses05M_script03_2/Ses05M_script03_2_M034.wav|ang|2.5|3.5|3.5|Well, there are people downstairs, I suppose.
data/iemocap/Session4/sentences/wav/Ses04M_script01_3/Ses04M_script01_3_M036.wav|xxx|3.0|3.0|4.0|I want you now, Annie.
data/iemocap/Session2/sentences/wav/Ses02M_script03_2/Ses02M_script03_2_F011.wav|neu|2.0|3.0|3.0|It just seems so silly to go on and on and on with such a thing.
data/iemocap/Session4/sentences/wav/Ses04M_script02_1/Ses04M_script02_1_F007.wav|ang|2.0|3.0|2.5|It's after eleven; let's go home.
data/iemocap/Session3/sentences/wav/Ses03F_script03_2/Ses03F_script03_2_M006.wav|xxx|2.0|3.5|4.5|What of it?
data/iemocap/Session2/sentences/wav/Ses02F_impro01/Ses02F_impro01_F020.wav|ang|1.5|3.0|3.5|With your driver's license and your passport.  Just like everybody else.
data/iemocap/Session3/sentences/wav/Ses03F_impro02/Ses03F_impro02_F041.wav|sad|1.5|2.0|1.5|I didn't expect this to happen. I never planned for this. Some things you just don't plan for, you know.
data/iemocap/Session1/sentences/wav/Ses01M_impro06/Ses01M_impro06_M010.wav|sad|1.5|3.0|3.0|Just like it.
data/iemocap/Session3/sentences/wav/Ses03F_script02_2/Ses03F_script02_2_F016.wav|sad|3.0|2.0|2.3333|Do you remember the last time we came here?
data/iemocap/Session2/sentences/wav/Ses02M_impro03/Ses02M_impro03_M020.wav|exc|4.0|4.5|4.0|I know it was, I don't know I was really nervous but I'm really - I'm really glad.
data/iemocap/Session5/sentences/wav/Ses05M_impro04/Ses05M_impro04_F035.wav|neu|2.5|2.5|3.0|Well, um, is that kinda like the side of you that you let people see when you go into these job interviews?
data/iemocap/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M024.wav|fru|2.0|2.0|4.5|I don't know why it is but every time I reach out for something I want, I have to pull back because other people will suffer. My whole bloody life time after time after time.
data/iemocap/Session2/sentences/wav/Ses02F_impro01/Ses02F_impro01_M013.wav|fru|2.5|3.0|3.0|Okay.  But how do I--that's- that's not proof to me.  How do I know that, you know, that it's really you.  I need--
data/iemocap/Session2/sentences/wav/Ses02F_script02_1/Ses02F_script02_1_M030.wav|xxx|2.5|2.5|2.5|For real?
data/iemocap/Session4/sentences/wav/Ses04M_impro02/Ses04M_impro02_F010.wav|fru|2.0|3.5|3.0|Explain the situation to them and then you can stay here.
data/iemocap/Session3/sentences/wav/Ses03M_script03_1/Ses03M_script03_1_M024.wav|xxx|4.0|2.5|4.0|Let's savor the delight of the moment.  Come kiss me darling before worms pop in and out of your eye sockets.
data/iemocap/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F015.wav|xxx|2.5|3.0|3.0|Do you remember the first time we came to see it?
data/iemocap/Session2/sentences/wav/Ses02M_impro02/Ses02M_impro02_F009.wav|sad|2.0|3.0|4.0|Well, just promise me that you going to be safe.
data/iemocap/Session3/sentences/wav/Ses03F_script02_2/Ses03F_script02_2_F025.wav|sad|2.3333|2.3333|2.0|Hope for some things.
data/iemocap/Session3/sentences/wav/Ses03M_script03_1/Ses03M_script03_1_F009.wav|xxx|3.5|3.5|3.5|It's true.  I mean, the whole business it's a very poor joke.
data/iemocap/Session5/sentences/wav/Ses05F_impro07/Ses05F_impro07_F000.wav|exc|4.5|3.5|3.5|So guess what.
data/iemocap/Session4/sentences/wav/Ses04M_impro01/Ses04M_impro01_M003.wav|neu|3.0|3.0|3.0|Yes, I do.
data/iemocap/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M025.wav|neu|2.5|2.5|2.0|It's a gift.
data/iemocap/Session2/sentences/wav/Ses02F_impro08/Ses02F_impro08_M005.wav|neu|3.0|3.0|3.0|You- You can do that--You can do that now? I don't have to get like transferred through or anything like that.
data/iemocap/Session4/sentences/wav/Ses04M_impro07/Ses04M_impro07_F011.wav|hap|4.5|4.0|4.5|Oh, you did not just say that.
data/iemocap/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M029.wav|neu|2.5|2.5|2.5|Well then maybe you can just call him and he can give you more money.  But right now all I can do--
data/iemocap/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_F032.wav|sad|1.5|2.5|3.5|Honey I can't do it anymore.
data/iemocap/Session4/sentences/wav/Ses04M_script02_1/Ses04M_script02_1_F008.wav|ang|2.5|3.0|3.5|There is no point in coming down here.
data/iemocap/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F022.wav|sad|2.5|2.5|2.0|No.
data/iemocap/Session4/sentences/wav/Ses04F_script03_1/Ses04F_script03_1_M001.wav|fea|3.0|3.0|3.5|I wonder.
